Symbol,Quantity,Buy Value,Sell Value,Realized P&L,trade_date,date_group,type
MEDANTA,23.0,27585.95,30524.35,2938.4,2024-07-01,Before 2024-07-23,short_term
CREDITACC,11.0,17551.9,13354.0,-4197.9,2024-08-27,After 2024-07-23,short_term
POLICYBZR,20.0,21292.0,34834.75,13542.75,2024-11-04,After 2024-07-23,short_term
DEEPAKFERT,24.0,24141.6,30968.55,6826.95,2025-02-03,After 2024-07-23,short_term
PGEL,41.0,26299.45,25169.05,-1130.4,2024-11-04,After 2024-07-23,short_term
ZOMATO,304.0,50079.15,55733.4,5654.25,2024-06-10,Before 2024-07-23,short_term
HSCL,63.0,18336.5,20601.0,2264.5,2024-04-08,Before 2024-07-23,short_term
VOLTAS,2.0,2960.0,3574.4,614.4,2024-12-13,After 2024-07-23,short_term
SUVENPHAR,6.0,7910.6,6773.4,-1137.2,2025-02-03,After 2024-07-23,short_term
ACE,9.0,14435.1,11890.5,-2544.6,2024-12-02,After 2024-07-23,short_term
KFINTECH,5.0,7350.5,5275.5,-2075.0,2025-02-03,After 2024-07-23,short_term
KARURVYSYA,34.0,6913.9,7657.14,743.24,2024-11-04,After 2024-07-23,short_term
NUVAMA,2.0,13799.1,10220.0,-3579.1,2025-02-03,After 2024-07-23,short_term
BANKBARODA,135.0,28003.05,26291.25,-1711.8,2025-03-03,After 2024-07-23,short_term
TVSMOTOR,10.0,18636.2,27537.0,8900.8,2024-08-27,After 2024-07-23,short_term
IOC,238.0,35959.2,40222.0,4262.8,2024-05-02,Before 2024-07-23,short_term
INDIAMART,12.0,29984.7,28195.0,-1789.7,2024-12-02,After 2024-07-23,short_term
NATIONALUM,81.0,15239.34,16932.49,1693.15,2024-12-02,After 2024-07-23,short_term
GENUSPOWER,150.0,48585.0,63866.65,15281.65,2024-09-13,After 2024-07-23,short_term
MAPMYINDIA,11.0,21720.95,23034.55,1313.6,2024-08-27,After 2024-07-23,short_term
GREAVESCOT,50.0,7320.0,14100.0,6780.0,2025-01-03,After 2024-07-23,short_term
ICIL,106.0,44308.0,40119.35,-4188.65,2024-10-01,After 2024-07-23,short_term
AUROPHARMA,10.0,9886.95,11542.5,1655.55,2024-05-02,Before 2024-07-23,short_term
MCX,3.0,19197.9,15197.5,-4000.4,2025-03-03,After 2024-07-23,short_term
GSPL,9.0,2620.8,2758.5,137.7,2024-06-14,Before 2024-07-23,short_term
ICICIBANK,29.0,32616.3,36714.95,4098.65,2024-10-01,After 2024-07-23,short_term
GESHIP,20.0,22278.95,22998.6,719.65,2024-12-02,After 2024-07-23,short_term
VBL,21.0,24624.9,30261.0,5636.1,2024-04-08,Before 2024-07-23,short_term
SHAKTIPUMP,12.0,53114.35,52888.8,-225.55,2024-11-04,After 2024-07-23,short_term
JINDALSAW,114.0,32936.35,32552.7,-383.65,2025-01-03,After 2024-07-23,short_term
SUDARSCHEM,28.0,28355.5,26940.65,-1414.85,2025-01-28,After 2024-07-23,short_term
CHOLAHLDNG,12.0,21399.6,16479.35,-4920.25,2025-01-28,After 2024-07-23,short_term
BASF,11.0,88410.5,62509.15,-25901.35,2024-12-02,After 2024-07-23,short_term
NTPC,112.0,36068.45,40756.8,4688.35,2024-06-10,Before 2024-07-23,short_term
EIHOTEL,53.0,21954.45,20365.25,-1589.2,2024-08-27,After 2024-07-23,short_term
ONESOURCE,6.0,1683.8502,9349.0,7665.1498,2025-01-29,After 2024-07-23,short_term
UNIONBANK,484.0,65067.39,65630.4,563.01,2024-07-01,Before 2024-07-23,short_term
STAR,24.0,29937.5498,26219.6,-3717.9498,2025-01-03,After 2024-07-23,short_term
GODFRYPHLP,1.0,5640.1,4914.85,-725.25,2025-02-03,After 2024-07-23,short_term
SCHNEIDER,38.0,31278.9,31047.2,-231.7,2024-08-27,After 2024-07-23,short_term
OIL,3.0,1854.75,1735.5,-119.25,2024-09-13,After 2024-07-23,short_term
BAJAJHIND,1205.0,45215.81,40463.9,-4751.91,2024-11-04,After 2024-07-23,short_term
BSOFT,52.0,36914.8,36543.0,-371.8,2024-07-01,Before 2024-07-23,short_term
WABAG,23.0,43097.4,26429.3,-16668.1,2025-01-28,After 2024-07-23,short_term
JUNIORBEES,3.0,1269.2,2292.29,1023.09,2024-10-01,After 2024-07-23,long_term
BSE,10.0,24650.5,45744.75,21094.25,2025-03-03,After 2024-07-23,long_term
LIQUIDBEES,8.391,8023.0202,8390.9161,367.8959,2024-04-01,Before 2024-07-23,long_term
TATASTEEL,42.0,5067.42,7635.6,2568.18,2024-06-14,Before 2024-07-23,long_term
INDHOTEL,15.0,5142.0,10773.25,5631.25,2024-12-13,After 2024-07-23,long_term
TATACONSUM,3.0,2428.5,3357.3,928.8,2024-06-14,Before 2024-07-23,long_term
TATACHEM,7.0,6947.0,6552.5,-394.5,2025-03-18,After 2024-07-23,long_term
TITAN,1.0,2536.95,3022.75,485.8,2025-03-18,After 2024-07-23,long_term
TCS,1.0,3807.95,4480.85,672.9,2024-12-13,After 2024-07-23,long_term
NIFTYBEES,16.0,3267.46,4606.4,1338.94,2025-01-03,After 2024-07-23,long_term
TATAPOWER,20.0,5125.85,9000.0,3874.15,2024-06-14,Before 2024-07-23,long_term
TATAMOTORS,14.0,8715.45,13736.8,5021.35,2024-10-01,After 2024-07-23,long_term
JUNIORBEES,1.0,411.64,652.29,240.65,2024-04-01,Before 2024-07-23,short_term
BSE,2.0,7379.35,8838.4,1459.05,2025-03-03,After 2024-07-23,short_term
LIQUIDBEES,24.609,23693.01,24608.7539,915.7439,2024-04-01,Before 2024-07-23,short_term
MOTILALOFS,35.0,24183.25,22613.35,-1569.9,2024-07-01,Before 2024-07-23,short_term
TATACHEM,2.0,2050.0,1620.0,-430.0,2024-06-14,Before 2024-07-23,short_term
NIFTYBEES,55.0,13469.86,15338.68,1868.82,2025-01-03,After 2024-07-23,short_term
LIQUIDCASE,1367.0,139160.0,141582.91,2422.91,2024-07-02,Before 2024-07-23,short_term
TATAMOTORS,28.0,20779.35,27485.15,6705.8,2024-06-14,Before 2024-07-23,short_term
COCHINSHIP,59.0,53452.65,107575.5,54122.85,2024-07-01,Before 2024-07-23,short_term
GET&D,19.0,26335.9,31603.85,5267.95,2024-09-13,After 2024-07-23,short_term
